Train Accuracies,Test Accuracies
0.8557,0.7012
0.8588,0.7081
0.8615,0.7058
0.863,0.6965
0.8671,0.7073
0.8663,0.7058
0.868,0.6934
0.8711,0.7004
0.8721,0.6988
0.8744,0.7089
0.8769,0.7073
0.8791,0.7127
0.8804,0.7089
0.882,0.7066
0.8835,0.7089
0.8864,0.7097
0.886,0.7181
0.8889,0.7151
0.8866,0.7127
0.8883,0.7112
0.8901,0.7127
0.8906,0.7181
0.8941,0.7166
0.8953,0.7058
0.8959,0.7143
0.8968,0.7081
0.8986,0.7042
0.9005,0.7097
0.9015,0.7073
0.9028,0.7112
0.9044,0.7251
0.9046,0.7127
0.9078,0.7027
0.9078,0.712
0.9078,0.7174
0.9071,0.7135
0.9111,0.7089
0.9115,0.7089
0.9107,0.7174
0.9127,0.7081
0.9115,0.7112
0.9142,0.7174
0.9117,0.7181
0.9158,0.7158
0.9162,0.7097
0.9183,0.7127
0.919,0.7066
0.9196,0.7104
0.9185,0.7089
0.9221,0.7189
0.9229,0.7151
0.9233,0.7112
0.9237,0.6988
0.9229,0.7097
0.9248,0.7143
0.9237,0.7097
0.925,0.7112
0.9256,0.7158
0.9247,0.712
0.9277,0.7151
0.9264,0.7127
0.9262,0.7197
0.9274,0.7151
0.9297,0.7081
0.9274,0.7104
0.9285,0.7158
0.9306,0.7166
0.9308,0.7081
0.9285,0.7112
0.9308,0.7097
0.9308,0.7012
0.9322,0.7135
0.9312,0.705
0.931,0.7135
0.9318,0.7189
0.933,0.7174
0.9326,0.7174
0.9328,0.7073
0.9343,0.7151
0.9341,0.6988
0.9362,0.6973
0.9345,0.7135
0.9345,0.705
0.9353,0.7127
0.9353,0.7112
0.937,0.7066
0.9372,0.7058
0.9372,0.7081
0.9368,0.7089
0.9374,0.7027
0.9382,0.7066
0.9386,0.7081
0.9393,0.7143
0.942,0.7097
0.9391,0.7104
0.9386,0.7027
0.9415,0.7104
0.9415,0.7081
0.9422,0.7066
0.943,0.705
